week,manager,team_name,points,points_against,projected_points
6,Adam,St. Louis Football Team,104.18,125.16,145.90
6,Jean,Djeango,125.16,104.18,153.38
6,roy s,Running Up That Hill,128.72,173.76,136.78
6,JoeB,Mac & Chase,173.76,128.72,137.94
6,Andy,AndysTeamThatDoesNotInspireAwe,134.96,159.00,156.15
6,Khari,Toney! Toni! Toné!,159.00,134.96,143.97
6,Jake,Lil Uzi Hurts,137.94,135.00,167.87
6,Christopher,Christopher's Perfect Team,135.00,137.94,130.22
6,sox fan,2 Gurleys 1 Kupp,123.56,147.48,157.73
6,JL,Hit Me With Your Prescott,147.48,123.56,159.79
