week,manager,team_name,points,points_against,projected_points
4,Adam,St. Louis Football Team,203.52,182.32,157.75
4,Jake,Lil Uzi Hurts,182.32,203.52,162.94
4,roy s,Running Up That Hill,144.12,146.54,142.62
4,Khari,Toney! Toni! Toné!,146.54,144.12,156.18
4,Andy,AndysTeamThatDoesNotInspireAwe,117.94,149.22,159.17
4,JL,Hit Me With Your Prescott,149.22,117.94,159.59
4,Jean,Djeango,144.36,128.98,147.39
4,JoeB,Mac & Chase,128.98,144.36,135.68
4,Christopher,Christopher's Perfect Team,114.82,165.88,140.47
4,sox fan,2 Gurleys 1 Kupp,165.88,114.82,160.42
