week,manager,team_name,points,points_against,projected_points
2,Adam,St. Louis Football Team,139.90,158.50,150.78
2,sox fan,2 Gurleys 1 Kupp,158.50,139.90,162.88
2,roy s,Running Up That Hill,150.28,140.44,151.76
2,Jean,Djeango,140.44,150.28,158.58
2,Andy,AndysTeamThatDoesNotInspireAwe,171.66,199.70,158.68
2,Christopher,Christopher's Perfect Team,199.70,171.66,150.07
2,Jake,Lil Uzi Hurts,165.96,105.30,169.85
2,JoeB,Mac & Chase,105.30,165.96,152.84
2,Khari,Toney! Toni! Toné!,131.66,159.04,158.88
2,JL,Hit Me With Your Prescott,159.04,131.66,148.26
