team_name,week,player_name,player_position,player_team,lineup_position,player_status,player_injury,player_key,date,injury_value
Birds Like I'm Julio,15,Brandon Aiyuk,WR,SF,W/R/T,Out,Ankle,399.p.32695,2020-12-30,4.0
Birds Like I'm Julio,16,Brandon Aiyuk,WR,SF,W/R/T,Out,Ankle,399.p.32695,2020-12-30,4.0
FreshPrinceOfHelaire,12,Clyde Edwards-Helaire,RB,KC,RB,Questionable,,399.p.32702,2020-12-06,2.0
FreshPrinceOfHelaire,14,Clyde Edwards-Helaire,RB,KC,BN,Doubtful,,399.p.32702,2020-12-30,3.0
FreshPrinceOfHelaire,15,Clyde Edwards-Helaire,RB,KC,BN,Doubtful,,399.p.32702,2020-12-30,3.0
FreshPrinceOfHelaire,16,Clyde Edwards-Helaire,RB,KC,BN,Doubtful,,399.p.32702,2020-12-30,3.0
FreshPrinceOfHelaire,13,Tee Higgins,WR,Cin,W/R/T,Questionable,Hamstring,399.p.32703,2020-12-12,2.0
Big Bucs No Whammies,14,Michael Pittman Jr.,WR,Ind,BN,Questionable,Concussion,399.p.32704,2020-12-30,2.0
Big Bucs No Whammies,15,Michael Pittman Jr.,WR,Ind,BN,Questionable,Concussion,399.p.32704,2020-12-30,2.0
Eli Man Penguin Boy,10,D'Andre Swift,RB,Det,W/R/T,Out,Concussion,399.p.32705,2020-12-01,4.0
Eli Man Penguin Boy,11,D'Andre Swift,RB,Det,BN,Out,Concussion,399.p.32705,2020-12-01,4.0
Eli Man Penguin Boy,12,D'Andre Swift,RB,Det,BN,Out,Concussion,399.p.32705,2020-12-06,4.0
Eli Man Penguin Boy,13,D'Andre Swift,RB,Det,BN,Questionable,Concussion,399.p.32705,2020-12-12,2.0
3HeadedATK,8,Jonathan Taylor,RB,Ind,RB,Questionable,,399.p.32711,2020-11-03,2.0
3HeadedATK,10,Jonathan Taylor,RB,Ind,RB,Out,COVID-19,399.p.32711,2020-12-01,4.0
3HeadedATK,11,Jonathan Taylor,RB,Ind,BN,Out,COVID-19,399.p.32711,2020-12-01,4.0
Khari's Blasingame,5,Laviska Shenault Jr.,WR,Jax,BN,Questionable,,399.p.32712,2020-10-08,2.0
Khari's Blasingame,2,Cam Akers,RB,LAR,BN,Out,ribs,399.p.32722,2020-09-25,4.0
Khari's Blasingame,3,Cam Akers,RB,LAR,BN,Out,ribs,399.p.32722,2020-09-25,4.0
Quaranteam,4,Cam Akers,RB,LAR,BN,Out,ribs,399.p.32722,2020-10-05,4.0
Quaranteam,5,Cam Akers,RB,LAR,BN,Questionable,ribs,399.p.32722,2020-10-08,2.0
Khari's Blasingame,14,Cam Akers,RB,LAR,RB,Questionable,Shoulder,399.p.32722,2020-12-30,2.0
Khari's Blasingame,15,Cam Akers,RB,LAR,RB,Questionable,Shoulder,399.p.32722,2020-12-30,2.0
Obi 'Quon Kenobi,10,J.K. Dobbins,RB,Bal,BN,Out,COVID-19,399.p.32725,2020-12-01,4.0
Obi 'Quon Kenobi,11,J.K. Dobbins,RB,Bal,RB,Out,COVID-19,399.p.32725,2020-12-01,4.0
DJeango,9,Antonio Gibson,RB,Was,W/R/T,Questionable,,399.p.32736,2020-11-11,2.0
DJeango,13,Antonio Gibson,RB,Was,RB,Out,Toe,399.p.32736,2020-12-12,4.0
DJeango,14,Antonio Gibson,RB,Was,BN,Questionable,Toe,399.p.32736,2020-12-30,2.0
DJeango,15,Antonio Gibson,RB,Was,BN,Questionable,Toe,399.p.32736,2020-12-30,2.0
DJeango,16,Antonio Gibson,RB,Was,W/R/T,Questionable,Toe,399.p.32736,2020-12-30,2.0
Quaranteam,2,Bryan Edwards,WR,LV,BN,Questionable,,399.p.32751,2020-09-24,2.0
3HeadedATK,2,Zack Moss,RB,Buf,BN,Out,toe,399.p.32756,2020-09-25,4.0
3HeadedATK,3,Zack Moss,RB,Buf,BN,Out,toe,399.p.32756,2020-09-29,4.0
3HeadedATK,4,Zack Moss,RB,Buf,BN,Out,toe,399.p.32756,2020-10-05,4.0
3HeadedATK,5,Zack Moss,RB,Buf,BN,Out,toe,399.p.32756,2020-10-13,4.0
FreshPrinceOfHelaire,12,Kendall Hinton,WR,Den,W/R/T,Inactive: Coach's Decision or Not on Roster,,399.p.32929,2020-12-06,
FreshPrinceOfHelaire,13,Kendall Hinton,WR,Den,BN,Inactive: Coach's Decision or Not on Roster,,399.p.32929,2020-12-12,
3HeadedATK,14,James Robinson,RB,Jax,W/R/T,Out,,399.p.33138,2020-12-30,4.0
3HeadedATK,15,James Robinson,RB,Jax,W/R/T,Out,,399.p.33138,2020-12-30,4.0
3HeadedATK,16,James Robinson,RB,Jax,W/R/T,Out,,399.p.33138,2020-12-30,4.0
Khari's Blasingame,11,Salvon Ahmed,RB,Mia,BN,Out,Shoulder,399.p.33265,2020-12-01,4.0
Khari's Blasingame,12,Salvon Ahmed,RB,Mia,BN,Out,Shoulder,399.p.33265,2020-12-06,4.0
Eli Man Penguin Boy,9,Drew Brees,QB,NO,BN,Questionable,,399.p.5479,2020-11-11,2.0
Eli Man Penguin Boy,10,Drew Brees,QB,NO,BN,Injured Reserve,Ribs,399.p.5479,2020-12-01,5.0
Eli Man Penguin Boy,11,Drew Brees,QB,NO,BN,Injured Reserve,Ribs,399.p.5479,2020-12-01,5.0
Eli Man Penguin Boy,12,Drew Brees,QB,NO,BN,Injured Reserve,Ribs,399.p.5479,2020-12-06,5.0
