week,manager,team_name,points,points_against,projected_points
1,Adam,St. Louis Football Team,120.72,149.94,156.11
1,roy s,Running Up That Hill,149.94,120.72,164.33
1,Andy,AndysTeamThatDoesNotInspireAwe,133.18,169.40,156.75
1,sox fan,2 Gurleys 1 Kupp,169.40,133.18,164.48
1,Jake,Lil Uzi Hurts,146.38,124.62,168.81
1,Khari,Toney! Toni! Toné!,124.62,146.38,159.94
1,Jean,Djeango,153.32,194.30,149.58
1,JL,Hit Me With Your Prescott,194.30,153.32,168.99
1,Christopher,Christopher's Perfect Team,119.38,162.74,144.77
1,JoeB,Mac & Chase,162.74,119.38,166.59
