week,manager,team_name,points,points_against,projected_points
5,Adam,St. Louis Football Team,135.68,190.42,154.06
5,JL,Hit Me With Your Prescott,190.42,135.68,164.84
5,roy s,Running Up That Hill,114.18,136.14,145.59
5,Christopher,Christopher's Perfect Team,136.14,114.18,147.16
5,Andy,AndysTeamThatDoesNotInspireAwe,131.72,142.78,161.38
5,Jean,Djeango,142.78,131.72,148.62
5,Jake,Lil Uzi Hurts,151.08,191.02,164.36
5,sox fan,2 Gurleys 1 Kupp,191.02,151.08,170.09
5,Khari,Toney! Toni! Toné!,98.12,120.44,153.88
5,JoeB,Mac & Chase,120.44,98.12,143.39
