team_name,week,player_name,player_position,player_team,lineup_position,player_status,player_injury,player_key,date,injury_value
St. Louis Football Team,6,Jameson Williams,WR,Det,IR,Non-Football Injury (Reserve),Knee,414.p.33967,2022-10-19,
Lil Uzi Hurts,4,Jahan Dotson,WR,Was,BN,Questionable,Hamstring,414.p.33971,2022-10-05,2.0
Lil Uzi Hurts,5,Jahan Dotson,WR,Was,BN,Out,Hamstring,414.p.33971,2022-10-10,4.0
Lil Uzi Hurts,6,Jahan Dotson,WR,Was,BN,Out,Hamstring,414.p.33971,2022-10-18,4.0
Lil Uzi Hurts,4,Treylon Burks,WR,Ten,BN,Doubtful,Toe,414.p.33973,2022-10-05,3.0
Lil Uzi Hurts,5,Treylon Burks,WR,Ten,BN,Injured Reserve,Toe,414.p.33973,2022-10-12,5.0
Lil Uzi Hurts,6,Treylon Burks,WR,Ten,BN,Injured Reserve,Toe,414.p.33973,2022-10-16,5.0
2 Gurleys 1 Kupp,6,Kenny Pickett,QB,Pit,BN,Questionable,Concussion,414.p.33975,2022-10-19,2.0
Djeango,5,Breece Hall,RB,NYJ,W/R/T,Questionable,Knee,414.p.33991,2022-10-06,2.0
Hit Me With Your Prescott,1,Kenneth Walker III,RB,Sea,BN,Questionable,Hernia,414.p.33996,2022-09-14,2.0
Hit Me With Your Prescott,2,Kenneth Walker III,RB,Sea,BN,Questionable,Abdomen,414.p.33996,2022-09-15,2.0
St. Louis Football Team,1,Brian Robinson Jr.,RB,Was,IR,Non-Football Injury (Reserve),Leg,414.p.34054,2022-09-14,
St. Louis Football Team,2,Brian Robinson Jr.,RB,Was,IR,Non-Football Injury (Reserve),Leg,414.p.34054,2022-09-21,
St. Louis Football Team,3,Brian Robinson Jr.,RB,Was,IR,Non-Football Injury (Reserve),Leg,414.p.34054,2022-09-28,
St. Louis Football Team,4,Brian Robinson Jr.,RB,Was,IR,Non-Football Injury (Active),Leg,414.p.34054,2022-10-05,
St. Louis Football Team,5,Brian Robinson Jr.,RB,Was,IR,Inactive: Coach's Decision or Not on Roster,,414.p.34054,2022-10-08,
AndysTeamThatDoesNotInspireAwe,6,Aaron Rodgers,QB,GB,QB,Questionable,Thumb,414.p.7200,2022-10-13,2.0
